,latitude,longitude
375,0.6366123,-1.4382805
376,0.878686,0.5392142
377,0.8396831,0.2891958
378,0.4568539,-1.7145871
379,0.8163376,-1.7583494
380,0.8279301,0.3360736
381,0.7964042,0.1523343
382,0.8744239,0.248884
383,-0.6031718,-1.0195446
384,0.9104632,0.3659449
385,0.7723798,-2.1144664
386,-0.6459132,3.050696
387,0.1849246,-1.0705361
388,0.7808848,-1.4936912
389,0.6078842,-1.3545867
390,0.9765117,-0.0588612
391,0.7129845,-1.6887666
392,-0.6575232,2.5279873
393,1.1312369,-2.5805741
394,0.1075915,-1.3163814
395,0.3227969,-1.1716291
396,0.2696987,-1.5345563
397,0.5271819,-1.6054865
398,0.5536638,0.6281998
399,0.6828147,-1.8941535
400,0.0618409,-1.3331104
401,0.5637518,-1.5078597
402,-0.4562151,0.4929857
403,0.8422854,-1.7676694
404,0.688665,-1.3016177
405,0.3448404,-1.2316788
406,-0.0230251,0.6445117
407,0.2990918,-1.0784861
408,0.1147968,0.0579652
409,0.5648583,-1.1288563
410,0.6385636,-2.1265616
411,0.0479194,1.7751744
412,0.5422249,-1.7074365
413,0.5445061,2.1177127
414,0.7646288,0.1955659
415,0.7344891,-1.3992979
416,0.7833177,-1.1084341
417,0.4846849,-1.7017169
418,0.6181275,0.8927743
419,0.5875407,-1.7771466
420,0.5575018,-1.7837615
421,0.8070071,0.1066213
422,0.8175488,-1.6090819
423,0.7931666,0.1619097
424,0.7129548,-1.3587162
425,0.4635368,-1.3734974
426,0.9769061,0.653008
427,0.8710938,-1.6971564
428,0.7597925,-1.4674658
429,0.6638709,-1.5277286
430,0.7815165,-1.5649809
431,0.4161449,1.5777389
432,0.4499197,-1.7471968
433,0.097829,-0.002911
434,0.7366808,-1.3260976
435,0.3664057,-1.7711776
436,0.5902861,0.6193894
437,0.648416,-1.880662
438,0.7451979,0.4086066
439,0.4347004,1.172177
440,0.7416079,-1.3344508
441,-0.1526844,2.0100433
442,0.1566937,0.6771756
443,0.6205047,2.4396212
444,0.8497991,0.1609536
445,0.7663444,-1.6144296
446,0.7358291,-1.3420116
447,0.9198234,-0.1557675
448,1.0527337,0.4356918
449,0.4833969,1.4897973
450,0.5467663,-1.6152987
451,0.1771858,1.3334647
452,1.0411221,0.3127386
453,0.9751486,-0.0773715
454,0.5823727,-0.13247
455,0.6146945,-1.7751046
456,0.898937,0.0009648
457,0.618433,-2.0779366
458,0.8134421,-1.9544721
459,-0.2362425,-1.2555689
460,0.8368731,-1.6960429
461,0.7779317,0.4555693
462,1.0505818,0.1937385
463,0.7371381,-1.4931658
464,0.6121394,-1.3446523
465,0.5501557,1.2985878
466,0.4577737,-1.7043909
467,0.759473,-1.9560079
468,0.5674222,-1.6063608
469,1.1167489,-0.3945422
470,0.967066,0.6615897
471,0.7135953,0.2494215
472,-0.5927976,0.3246609
473,0.1822543,-1.3179505
474,0.1798998,2.1638417
475,0.684574,-1.865216
476,-0.4779444,2.6723959
477,0.1850593,-1.1692063
478,0.3464461,-1.7632189
479,0.6149982,-2.1056001
480,-0.1069114,1.8614983
481,0.7619829,0.1259407
482,0.6918939,-1.8660711
483,0.3783804,0.6834099
484,0.4042427,-1.8546916
485,0.7228229,0.3441894
486,0.9360271,0.1743275
487,0.7983642,0.2804535
488,0.5867221,1.2758217
489,0.8740208,0.3453099
490,0.7658331,-1.5927299
491,0.7488859,-1.8581473
492,0.7822287,0.3544606
493,0.7201874,-1.2721147
494,0.3953991,1.5436861
495,0.5624219,-1.4084371
496,0.6132825,-1.9490266
497,0.7065302,-1.8713072
498,0.1253279,1.3942406
499,0.245409,-1.5222273
500,0.9055641,0.0041015
501,0.1900594,-1.3051712
502,1.0437121,0.5281803
503,0.8166587,-1.2460482
504,-0.6080448,-0.9779219
505,0.840863,-1.8088941
506,-0.2769692,-0.8363763
507,0.61674,-1.6470219
508,0.3143041,-1.1617436
509,0.6400978,-0.0785243
510,0.316512,-1.1430789
511,0.7138153,0.511542
512,0.1416021,1.7159537
513,0.4521589,-1.7004028
514,0.9105522,-1.8622663
515,0.9154932,-0.0305089
516,1.0184869,-2.3487944
517,0.6216357,-1.8516023
518,0.2127364,-1.2035756
519,0.8490486,-2.1541901
520,0.5699652,-2.0002521
521,0.6514738,-1.3823078
522,0.2446987,-1.0645269
523,0.3703798,1.8466805
524,0.2924666,-1.7410357
525,0.2015262,1.829873
526,0.5966478,-1.3914445
527,0.9702547,0.6503359
528,0.655516,2.2129204
529,0.5675165,-1.4824635
530,0.8802027,-1.8267663
531,0.8093877,-2.042297
532,0.4264363,0.9538416
533,0.6464069,-1.9811286
534,0.0007398,0.5662459
535,0.7523643,-1.3778711
536,0.6721088,-2.1434913
537,0.3072059,-1.7708285
538,0.6954107,-1.5651747
539,-0.3063699,-2.6111346
